artist_query,channel_id_found,channel_title_verified,subscriber_count,view_count,video_count,total_top10_video_likes
Nalan,UC_zzCBiTkpQwP8lwHgQ7M3Q,Nalan - Topic,19400.0,53723636.0,187.0,163164.0
Grupo Sensação,UCKiMawhTZ5z1S8i1_fezSAw,Grupo Sensação,55800.0,8161696.0,24.0,0.0
Gorillaz;Beck,UCNIV5B_aJnLrKDSnW_MOmcQ,Gorillaz - Topic,43100.0,1533592212.0,560.0,9354631.0
Parcels,UC2as7PrmUgmdZAkMIWNY6EQ,Parcels,306000.0,180354793.0,236.0,745054.0
Klingande,UCOX8OMkI7ULP7K8bfB_HTHA,Klingande,83500.0,64798541.0,44.0,163822.0
Michael Angelo Batio,UCmij7umRm1TTp4pYSSxbHBg,Michael Angelo Batio - Topic,5170.0,1296175.0,67.0,14110.0
Chorus - Beauty And the Beast;Richard White;Disney,UCAM7TJf5fc8QoSQnPagrmzA,Chorus - Beauty And the Beast - Topic,744.0,2385500.0,12.0,11301.0
Music Travel Love;Francis Greg,UCLxAS02eWvfZK4icRNzWD_g,Music Travel Love,5460000.0,2085284831.0,105.0,3892488.0
Glee Cast;Demi Lovato;Adam Lambert,UCTj3C35Vn_BCOPdYKHkOORQ,Mi Música preferida,13.0,8881.0,1.0,0.0
DJ Robin;Schürze,UCQuDbveB7W2AfOjJmea96cQ,DJ Robin - Topic,13900.0,23809043.0,283.0,175702.0
Last Child,UCwqdxMr5E4m-6DTX2-WInSQ,LAST CHILD,3450000.0,1320270104.0,292.0,3909168.0
Oliver Heldens;Boy Matthews,UCTFxqsrWEgsXfHPOXdnZQBA,Team Heldens,2060.0,257311.0,36.0,2416.0
Krewella;BEAUZ,UCDY_0WzkHyj0A1ev6RTql1Q,Krewella,1490000.0,510089054.0,155.0,542040.0
Udit Narayan;Alka Yagnik,UCLH5ojAg1XIyxcOCazK4n-Q,Alka Yagnik,1270000.0,1255128658.0,3.0,4436.0
Andien,UCjqGbPHhc2mSSij0pNxZt_A,Andien Aisyah,77300.0,26347401.0,511.0,79238.0
Nosso Sentimento,UCYXGZ5Azfc8IhUTvW4vXbFg,Nosso Sentimento - Topic,25500.0,58211212.0,91.0,193056.0
Pritam;Mohit Chauhan;Sandeep Shrivastava,UCl-Rn1DqCHUQBsUBElrsUZQ,world of ( lofi ),8.0,1224.0,10.0,0.0
Drake;21 Savage,UCHQ0tzrWrJDjOsz1wV1sj6A,Drake 21,0.0,1.0,1.0,0.0
Troglauer,UCp8uUWnmdailzXeV8M1NIvg,TROGLAUER,53700.0,42220033.0,470.0,157353.0
Madison Beer,UC7zjjW_bvcVsPcBiqUPJf1w,Madison Beer,3670000.0,949260773.0,70.0,677729.0
Bethel Music;Zach Vestnys;Abby Vestnys,UC3WVRL_XHinXPqIhzJNq5vw,Modern Evangelism Lyrics,14300.0,3947449.0,254.0,19082.0
Raí Saia Rodada;Breno & Caio Cesar,UCN_AGomqj9HdcbewRHYWN7A,Raí Saia Rodada - Topic,4480.0,329269898.0,672.0,946162.0
Oliver Heldens;Becky Hill,UCr6o7T_bNQPzHlRAtQz7EDw,Becky Hill Official,399000.0,428232691.0,231.0,152890.0
Carnage;Timmy Trumpet,UCCD7dAEC73C-Pm2HXqv_TGQ,Timmy Trumpet - Topic,6600.0,226644026.0,435.0,958744.0
Five Finger Death Punch,UC1P-VkqYRRNUxSeWkIUsYGA,Five Finger Death Punch - Topic,160000.0,699541223.0,877.0,1793717.0
Samba da Vela,UCAZiXv7Md7sDZ0hNhekdGjQ,Samba da Vela - Topic,532.0,106863.0,36.0,908.0
caleblrt;Hashir,UCiJCVkbzAkcNtucu48En7_A,caleblrt - Topic,132.0,25552.0,9.0,543.0
Unspoken Tradition,UCTlL4wGEQOiUAcKMgZ6E7Ew,Unspoken Tradition Bluegrass,1140.0,437055.0,33.0,752.0
Hybrid Minds;Birdy,UCZISRl6Ebrrenn05EvrdevQ,Birdy México Official,1760.0,674405.0,81.0,11331.0
Ekali;ZHU,UCaMh8ii0gfI8UKAu1VqzYIA,Ekali,36600.0,19106382.0,58.0,130922.0
ALEXANDRE APOSAN,UCjq6glUsKgdDZdkd_tOGJPA,Alexandre Aposan,190000.0,24994027.0,289.0,183289.0
Harshdeep Kaur;Benny Dayal,UCP79OFxO4rXVAOgy-FNHW6w,The Lofi Lover,0.0,27.0,1.0,0.0
Base Ball Bear,UCUf-WyoIEhByV2glSoLEHyQ,Base Ball Bear,73100.0,46939574.0,37.0,33385.0
Lucenzo,UC7GgrwAP47P7E7ulW_Foo0w,Lucenzo,319000.0,336772641.0,9.0,187507.0
Manutti,UCCKh7ZoRmEoo5vzvW7zUZ4A,MANUTTIOFICIAL,585000.0,227373362.0,161.0,741716.0
Flora Matos,UCQ6epgnoyg-N_Ff5E7BTIwg,Flora Matos,393000.0,126637604.0,16.0,711308.0
LXVI;SauceOnly,UC_VVI1ueYct3ajv70MgpO1Q,ELÍAS Martinez,5.0,94.0,4.0,0.0
Campsite Dream,UCEXmmTvPqubjeFU3pbqLHWw,Campsite Dream,17200.0,10076714.0,0.0,0.0
BiS,UC-_EY677g1qpyhPImIyUZQg,Bis,326000.0,458662980.0,95.0,0.0
Crate Diggers,UC60dLJr0agyvRfm4zT6Y9vA,Crate Diggers,2.0,247.0,3.0,4.0
